 Population ,% of World,Date,Source
"54,13,191",0.07%,30-Sep-25,National quarterly estimate
"53,59,557",0.07%,31-Dec-25,Monthly national estimate
"53,42,000",0.06%,31-Dec-25,National quarterly estimate
"52,48,621",0.06%,10-Nov-22,2022 census result
"51,91,824",0.06%,30-Jun-25,National annual projection
"49,27,532",0.06%,25-Dec-23,2023 census result
"48,81,254",0.06%,01-Jan-25,Official estimate
"40,64,780",0.05%,08-Jan-23,2023 census result
"38,66,233",0.05%,01-Jul-24,Official estimate
"37,04,500",0.05%,01-Jan-25,Official estimate
"36,07,000",0.04%,01-Jul-25,UN projection
"35,44,835",0.04%,31-Dec-24,National annual projection
"34,85,931",0.04%,30-Jun-25,National annual projection
"34,12,000",0.04%,01-Jul-24,Official estimate
"32,14,609",0.04%,31-Dec-25,Monthly national estimate
"31,84,195",0.04%,01-Jul-25,Annual projection
"30,76,200",0.04%,01-Jan-25,Official estimate
"30,22,401",0.04%,24-Sep-23,2023 Census
"28,97,009",0.04%,01-Jan-26,Monthly national estimate
"27,74,538",0.03%,12-Sep-22,2022 census result
"24,69,296",0.03%,01-Jul-25,National annual projection
"24,22,712",0.03%,01-May-24,Preliminary census results
"23,81,300",0.03%,01-Jan-25,Official estimate
"23,63,314",0.03%,01-Jan-25,Official estimate
"23,59,609",0.03%,18-Mar-22,2022 census result
"21,33,852",0.03%,01-Oct-25,National quarterly estimate
"21,16,427",0.03%,16-Jul-05,Official survey
"18,52,784",0.02%,01-Jul-25,National annual projection
"18,23,500",0.02%,01-Jan-26,Monthly national estimate
"18,22,612",0.02%,31-Dec-24,Official estimate
"16,68,768",0.02%,01-Jul-24,Official estimate
"15,94,654",0.02%,31-Dec-24,Official estimate
"15,85,566",0.02%,04-Apr-24,2024 national census
"13,91,221",0.02%,01-Jul-25,National annual projection
"13,67,764",0.02%,30-Jun-25,Official estimate
"13,62,954",0.02%,01-Jan-26,Official estimate
"12,43,741",0.02%,01-Jul-25,National estimate
"12,35,549",0.02%,01-Jul-24,Official projection
"10,66,809",0.01%,20-May-24,2024 census result
"9,83,000",0.01%,31-Dec-24,Official estimate
"9,56,044",0.01%,31-Dec-24,Official estimate
"9,19,901",0.01%,17-Jul-05,Official estimate
"9,02,623",0.01%,01-Jan-26,National annual projection
"7,84,043",0.01%,17-Jul-05,National annual projection
"7,50,325",0.01%,01-Jul-24,National annual projection
"6,86,600",0.01%,30-Sep-25,National quarterly estimate
"6,81,973",0.01%,01-Jan-25,Official estimate
"6,23,327",0.01%,01-Jan-25,Official estimate
"6,16,500",0.01%,01-Jul-21,Official estimate
"6,00,904",0.01%,01-Jul-25,UN projection
"5,74,250",0.01%,31-Dec-24,Official estimate
"5,15,132",0.01%,13-Sep-22,2022 census result
"4,91,233",0.01%,16-Jun-21,2021 census result
"4,76,214",0.01%,31-Dec-23,Official projection
"4,55,500",0.01%,01-Jul-24,Official estimate
"4,17,634",0.01%,01-Jul-25,Official estimate
"3,98,165",0.01%,04-Apr-22,2022 census result
"3,94,530",0.01%,01-Jan-26,National quarterly estimate
"3,67,776",0.00%,31-Mar-24,Official estimate
"3,21,409",0.00%,01-Jul-24,National annual projection
"2,79,500",0.00%,31-Dec-24,National annual projection
"2,67,800",0.00%,31-Dec-22,Official estimate
"2,64,596",0.00%,01-Jan-25,National annual projection
"2,44,236",0.00%,01-Jan-22,Official estimate
"2,09,607",0.00%,16-Jul-05,Preliminary census result
"2,05,557",0.00%,06-Nov-21,2021 Census
"1,84,100",0.00%,01-Jul-23,Official estimate
"1,56,115",0.00%,01-Jan-25,Official estimate
"1,53,836",0.00%,01-Apr-20,2020 census result
"1,22,729",0.00%,30-Jun-25,Official estimate
"1,20,740",0.00%,01-Jul-21,National annual projection
"1,10,872",0.00%,01-Jul-22,Official estimate
"1,09,435",0.00%,30-Jun-25,Official estimate
"1,09,021",0.00%,13-Jul-05,Preliminary Census results
"1,05,564",0.00%,17-Jul-05,National annual projection
"1,03,603",0.00%,01-Jan-24,Official estimate
"1,03,267",0.00%,21-Mar-21,2021 census result
"1,00,179",0.00%,30-Nov-21,2021 census result
"89,058",0.00%,01-Jan-26,Monthly national estimate
"88,833",0.00%,31-Dec-24,National annual projection
"87,146",0.00%,01-Apr-20,2020 census result
"84,975",0.00%,01-Apr-25,Official estimate
"71,946",0.00%,10-Jul-05,UN estimate
"64,781",0.00%,31-Dec-23,National quarterly estimate
"64,055",0.00%,01-Jul-21,National annual projection
"56,740",0.00%,01-Jan-26,National quarterly estimate
"56,520",0.00%,31-Dec-21,Official estimate
"54,981",0.00%,01-Jan-26,Monthly national estimate
"51,320",0.00%,14-Jul-05,2022 census result
"50,828",0.00%,01-Jul-24,Official estimate
"49,710",0.00%,01-Apr-20,2020 census result
"47,329",0.00%,01-Apr-20,2020 census result
"42,418",0.00%,30-Sep-21,2021 Census
"41,349",0.00%,01-Jan-25,Official estimate
"41,024",0.00%,30-Jun-24,National estimate
"39,471",0.00%,01-Jul-24,UN projection
"38,423",0.00%,31-Dec-24,Census
"38,196",0.00%,14-Nov-22,Preliminary census results
"34,172",0.00%,31-Dec-25,Monthly national estimate
"31,496",0.00%,01-Jan-25,Official estimate
"16,733",0.00%,01-Jul-21,2021 Census
"16,010",0.00%,31-Dec-24,Official estimate
"15,040",0.00%,01-Jul-21,2021 Census
"11,680",0.00%,30-Oct-21,2021 Census
"11,620",0.00%,24-Jul-23,2023 Census
"10,643",0.00%,12-Dec-22,2022 Census
"10,562",0.00%,01-Jan-25,Official estimate
"5,819",0.00%,01-Jan-25,Official estimate
"5,651",0.00%,01-Jul-21,2021 Census
"4,386",0.00%,23-Sep-23,2023 census result
"3,662",0.00%,10-Oct-21,2021 census result
"2,608",0.00%,01-Jan-25,2025 Census
"2,188",0.00%,01-Jan-21,2021 Census
"1,692",0.00%,01-Jan-21,2021 Census
"1,681",0.00%,11-Nov-22,2022 Census
882,0.00%,31-Dec-24,Official figure
593,0.00%,30-Jun-20,2021 Census
35,0.00%,01-Jul-23,Official estimate
