Location, Population ,% of World,Date,Source
Algeria," 4,74,00,000 ",0.60%,01-Jan-25,National annual projection
Argentina," 4,63,87,098 ",0.60%,01-Jul-25,National annual projection
Iraq," 4,61,18,793 ",0.60%,24-Feb-25,2024 census result
Uganda," 4,59,05,417 ",0.60%,10-May-24,2024 census result
Afghanistan," 4,38,44,000 ",0.50%,01-Jul-25,UN projection
Canada," 4,15,75,585 ",0.50%,01-Oct-25,National quarterly estimate
Uzbekistan," 3,82,36,704 ",0.50%,01-Jan-26,Official estimate
Poland," 3,73,51,000 ",0.50%,30-Nov-25,Monthly national estimate
Morocco," 3,68,28,330 ",0.40%,01-Sep-24,2024 census result
Angola," 3,66,04,681 ",0.40%,19-Sep-24,2024 census result
Saudi Arabia," 3,53,00,280 ",0.40%,01-Jul-24,Official estimate
Peru," 3,43,50,244 ",0.40%,01-Jul-25,National annual projection
Malaysia," 3,42,81,100 ",0.40%,30-Sep-25,National quarterly estimate
Mozambique," 3,40,90,466 ",0.40%,01-Jul-25,National annual projection
Ghana," 3,37,42,380 ",0.40%,01-Jul-25,National annual projection
Yemen," 3,26,84,503 ",0.40%,01-Jul-23,Official estimate
Madagascar," 3,17,27,042 ",0.40%,01-Jul-25,National annual projection
Ivory Coast," 3,17,19,275 ",0.40%,31-Dec-24,National annual projection
Nepal," 2,99,11,840 ",0.40%,17-Jul-05,National annual projection
Cameroon," 2,94,42,327 ",0.40%,01-Jul-25,National annual projection
Ukraine," 2,87,00,000 ",0.30%,01-Sep-25,State migration service
Venezuela," 2,85,17,000 ",0.30%,01-Jul-25,UN projection
Australia," 2,76,14,400 ",0.30%,30-Jun-25,Official projection
Niger," 2,75,22,750 ",0.30%,01-Jul-25,National annual projection
North Korea," 2,59,50,000 ",0.30%,01-Jul-24,National annual projection
Syria," 2,56,20,427 ",0.30%,01-Jul-25,Monthly estimate
Burkina Faso," 2,40,70,553 ",0.30%,01-Jul-25,Official projection
Taiwan," 2,32,89,045 ",0.30%,31-Jan-26,Official estimate
Mali," 2,23,95,489 ",0.30%,15-Jun-22,2022 census result
Sri Lanka," 2,17,81,800 ",0.30%,19-Dec-24,2024 census result
Malawi," 2,07,34,262 ",0.30%,01-Jul-25,National annual projection
Kazakhstan," 2,04,95,975 ",0.20%,01-Jan-26,Official estimate
Chile," 2,02,06,953 ",0.20%,30-Jun-25,National annual projection
Zambia," 1,96,93,423 ",0.20%,08-Sep-22,2022 census result
Somalia," 1,96,55,000 ",0.20%,01-Jul-25,UN projection
Chad," 1,93,40,757 ",0.20%,01-Jul-25,National annual projection
Romania," 1,90,36,031 ",0.20%,01-Jan-25,Official estimate
Senegal," 1,85,93,258 ",0.20%,01-Jul-24,National annual projection
Netherlands," 1,81,31,238 ",0.20%,01-Jan-26,Official estimate
Ecuador," 1,81,03,660 ",0.20%,01-Jul-25,National annual projection
Guatemala," 1,80,79,810 ",0.20%,01-Jul-25,National annual projection
Cambodia," 1,75,77,760 ",0.20%,01-Jul-25,Official projection
Zimbabwe," 1,70,73,087 ",0.20%,01-Jul-25,Official projection
South Sudan," 1,57,86,898 ",0.20%,01-Jul-25,National annual projection
Guinea," 1,43,63,931 ",0.20%,01-Jul-25,National annual projection
Rwanda," 1,41,04,969 ",0.20%,01-Jul-25,National annual projection
Benin," 1,32,24,860 ",0.20%,01-Jul-25,National annual projection
Burundi," 1,23,32,788 ",0.10%,16-Aug-24,Preliminary census result
Tunisia," 1,19,72,169 ",0.10%,06-Nov-24,2024 census result
Belgium," 1,19,28,761 ",0.10%,01-Dec-25,Official estimate
Haiti," 1,18,67,032 ",0.10%,01-Jul-24,National annual projection
Jordan," 1,17,34,000 ",0.10%,31-Dec-24,National estimate
Bolivia," 1,13,65,333 ",0.10%,23-Mar-24,2024 census result
United Arab Emirates," 1,12,94,243 ",0.10%,31-Dec-24,Official estimate
Czech Republic," 1,08,97,178 ",0.10%,30-Sep-25,Official estimate
Dominican Republic," 1,07,71,504 ",0.10%,10-Nov-22,2022 census result
Portugal," 1,07,49,635 ",0.10%,31-Dec-24,Official estimate
Sweden," 1,06,08,003 ",0.10%,30-Nov-25,Monthly national estimate
Tajikistan," 1,04,99,000 ",0.10%,01-Jan-25,Official estimate
Greece," 1,03,72,335 ",0.10%,01-Jan-25,Official estimate
Azerbaijan," 1,02,59,701 ",0.10%,01-Dec-25,Monthly national estimate
Papua New Guinea," 1,01,85,363 ",0.10%,16-Jun-24,2024 census result
Israel," 1,01,76,900 ",0.10%,31-Dec-25,Monthly national estimate
Honduras," 98,92,632 ",0.10%,01-Jul-24,National annual projection
Cuba," 97,48,007 ",0.10%,31-Dec-24,Official estimate
Hungary," 94,89,000 ",0.10%,01-Jan-26,Official estimate
Austria," 92,19,113 ",0.10%,01-Jan-26,National quarterly estimate
Belarus," 91,09,280 ",0.10%,01-Jan-25,Official estimate
Switzerland," 91,04,063 ",0.10%,30-Sep-25,National quarterly estimate
Sierra Leone," 90,77,691 ",0.10%,01-Jul-25,National annual projection
Togo," 80,95,498 ",0.10%,08-Nov-22,2022 census result
Laos," 76,47,000 ",0.09%,01-Jul-24,National annual projection
Hong Kong(China)," 75,27,500 ",0.09%,30-Jun-25,National estimate
Libya," 74,59,000 ",0.09%,01-Jul-25,UN projection
Kyrgyzstan," 72,81,800 ",0.09%,01-Jan-25,Monthly national estimate
Turkmenistan," 70,57,841 ",0.09%,17-Dec-22,2022 census result
Nicaragua," 68,74,748 ",0.08%,30-Jun-24,Official estimate
Serbia," 65,67,783 ",0.08%,01-Jan-25,Official estimate
Central African Republic," 64,70,307 ",0.08%,01-Jul-24,National annual projection
Bulgaria," 64,37,360 ",0.08%,31-Dec-24,Official estimate
Republic of the Congo," 61,42,180 ",0.07%,17-May-23,2023 census result
Singapore," 61,10,200 ",0.07%,30-Jun-25,National annual projection
Paraguay," 61,09,644 ",0.07%,09-Nov-22,2022 census result
El Salvador," 60,29,976 ",0.07%,02-May-24,2024 census result
Denmark," 60,25,603 ",0.07%,01-Jan-26,Monthly national estimate
Finland," 56,56,900 ",0.07%,01-Jan-26,Monthly national estimate
Norway," 56,18,354 ",0.07%,30-Sep-25,National quarterly estimate
Lebanon," 54,90,000 ",0.07%,01-Jul-21,Official estimate
Palestine," 54,83,450 ",0.07%,01-Jan-23,National annual projection
Ireland," 54,58,600 ",0.07%,01-Apr-25,National estimate
Slovakia," 54,13,191 ",0.07%,30-Sep-25,National quarterly estimate
Oman," 53,59,557 ",0.07%,31-Dec-25,Monthly national estimate
New Zealand," 53,42,000 ",0.06%,31-Dec-25,National quarterly estimate
Liberia," 52,48,621 ",0.06%,10-Nov-22,2022 census result
Costa Rica," 51,91,824 ",0.06%,30-Jun-25,National annual projection
Mauritania," 49,27,532 ",0.06%,25-Dec-23,2023 census result
Kuwait," 48,81,254 ",0.06%,01-Jan-25,Official estimate
Panama," 40,64,780 ",0.05%,08-Jan-23,2023 census result
Croatia," 38,66,233 ",0.05%,01-Jul-24,Official estimate
Georgia," 37,04,500 ",0.05%,01-Jan-25,Official estimate
Eritrea," 36,07,000 ",0.04%,01-Jul-25,UN projection
Mongolia," 35,44,835 ",0.04%,31-Dec-24,National annual projection
Uruguay," 34,85,931 ",0.04%,30-Jun-25,National annual projection
Bosnia and Herzegovina," 34,12,000 ",0.04%,01-Jul-24,Official estimate
Qatar," 32,14,609 ",0.04%,31-Dec-25,Monthly national estimate
Puerto Rico(US)," 31,84,195 ",0.04%,01-Jul-25,Annual projection
Armenia," 30,76,200 ",0.04%,01-Jan-25,Official estimate
Namibia," 30,22,401 ",0.04%,24-Sep-23,2023 Census
Lithuania," 28,97,009 ",0.04%,01-Jan-26,Monthly national estimate
Jamaica," 27,74,538 ",0.03%,12-Sep-22,2022 census result
Gabon," 24,69,296 ",0.03%,01-Jul-25,National annual projection
Gambia," 24,22,712 ",0.03%,01-May-24,Preliminary census results
Moldova," 23,81,300 ",0.03%,01-Jan-25,Official estimate
Albania," 23,63,314 ",0.03%,01-Jan-25,Official estimate
Botswana," 23,59,609 ",0.03%,18-Mar-22,2022 census result
Slovenia," 21,33,852 ",0.03%,01-Oct-25,National quarterly estimate
Lesotho," 21,16,427 ",0.03%,16-Jul-05,Official survey
Guinea-Bissau," 18,52,784 ",0.02%,01-Jul-25,National annual projection
Latvia," 18,23,500 ",0.02%,01-Jan-26,Monthly national estimate
North Macedonia," 18,22,612 ",0.02%,31-Dec-24,Official estimate
Equatorial Guinea," 16,68,768 ",0.02%,01-Jul-24,Official estimate
Bahrain," 15,94,654 ",0.02%,31-Dec-24,Official estimate
Kosovo," 15,85,566 ",0.02%,04-Apr-24,2024 national census
Timor-Leste," 13,91,221 ",0.02%,01-Jul-25,National annual projection
Trinidad and Tobago," 13,67,764 ",0.02%,30-Jun-25,Official estimate
Estonia," 13,62,954 ",0.02%,01-Jan-26,Official estimate
Mauritius," 12,43,741 ",0.02%,01-Jul-25,National estimate
Eswatini," 12,35,549 ",0.02%,01-Jul-24,Official projection
Djibouti," 10,66,809 ",0.01%,20-May-24,2024 census result
Cyprus," 9,83,000 ",0.01%,31-Dec-24,Official estimate
Guyana," 9,56,044 ",0.01%,31-Dec-24,Official estimate
Comoros," 9,19,901 ",0.01%,17-Jul-05,Official estimate
Fiji," 9,02,623 ",0.01%,01-Jan-26,National annual projection
Bhutan," 7,84,043 ",0.01%,17-Jul-05,National annual projection
Solomon Islands," 7,50,325 ",0.01%,01-Jul-24,National annual projection
Macau(China)," 6,86,600 ",0.01%,30-Sep-25,National quarterly estimate
Luxembourg," 6,81,973 ",0.01%,01-Jan-25,Official estimate
Montenegro," 6,23,327 ",0.01%,01-Jan-25,Official estimate
Suriname," 6,16,500 ",0.01%,01-Jul-21,Official estimate
Western Sahara(disputed)," 6,00,904 ",0.01%,01-Jul-25,UN projection
Malta," 5,74,250 ",0.01%,31-Dec-24,Official estimate
Maldives," 5,15,132 ",0.01%,13-Sep-22,2022 census result
Cape Verde," 4,91,233 ",0.01%,16-Jun-21,2021 census result
Northern Cyprus," 4,76,214 ",0.01%,31-Dec-23,Official projection
Brunei," 4,55,500 ",0.01%,01-Jul-24,Official estimate
Belize," 4,17,634 ",0.01%,01-Jul-25,Official estimate
Bahamas," 3,98,165 ",0.01%,04-Apr-22,2022 census result
Iceland," 3,94,530 ",0.01%,01-Jan-26,National quarterly estimate
Transnistria," 3,67,776 ",0.00%,31-Mar-24,Official estimate
Vanuatu," 3,21,409 ",0.00%,01-Jul-24,National annual projection
French Polynesia(France)," 2,79,500 ",0.00%,31-Dec-24,National annual projection
Barbados," 2,67,800 ",0.00%,31-Dec-22,Official estimate
New Caledonia(France)," 2,64,596 ",0.00%,01-Jan-25,National annual projection
Abkhazia," 2,44,236 ",0.00%,01-Jan-22,Official estimate
São Tomé and Príncipe," 2,09,607 ",0.00%,16-Jul-05,Preliminary census result
Samoa," 2,05,557 ",0.00%,06-Nov-21,2021 Census
Saint Lucia," 1,84,100 ",0.00%,01-Jul-23,Official estimate
Curaçao(Netherlands)," 1,56,115 ",0.00%,01-Jan-25,Official estimate
Guam(US)," 1,53,836 ",0.00%,01-Apr-20,2020 census result
Seychelles," 1,22,729 ",0.00%,30-Jun-25,Official estimate
Kiribati," 1,20,740 ",0.00%,01-Jul-21,National annual projection
Saint Vincent and the Grenadines," 1,10,872 ",0.00%,01-Jul-22,Official estimate
Aruba(Netherlands)," 1,09,435 ",0.00%,30-Jun-25,Official estimate
Grenada," 1,09,021 ",0.00%,13-Jul-05,Preliminary Census results
Micronesia," 1,05,564 ",0.00%,17-Jul-05,National annual projection
Antigua and Barbuda," 1,03,603 ",0.00%,01-Jan-24,Official estimate
Jersey(UK)," 1,03,267 ",0.00%,21-Mar-21,2021 census result
Tonga," 1,00,179 ",0.00%,30-Nov-21,2021 census result
Andorra," 89,058 ",0.00%,01-Jan-26,Monthly national estimate
Cayman Islands(UK)," 88,833 ",0.00%,31-Dec-24,National annual projection
U.S. Virgin Islands(US)," 87,146 ",0.00%,01-Apr-20,2020 census result
Isle of Man(UK)," 84,975 ",0.00%,01-Apr-25,Official estimate
Dominica," 71,946 ",0.00%,10-Jul-05,UN estimate
Guernsey(UK)," 64,781 ",0.00%,31-Dec-23,National quarterly estimate
Bermuda(UK)," 64,055 ",0.00%,01-Jul-21,National annual projection
Greenland(Denmark)," 56,740 ",0.00%,01-Jan-26,National quarterly estimate
South Ossetia," 56,520 ",0.00%,31-Dec-21,Official estimate
Faroe Islands(Denmark)," 54,981 ",0.00%,01-Jan-26,Monthly national estimate
Saint Kitts and Nevis," 51,320 ",0.00%,14-Jul-05,2022 census result
Turks and Caicos Islands(UK)," 50,828 ",0.00%,01-Jul-24,Official estimate
American Samoa(US)," 49,710 ",0.00%,01-Apr-20,2020 census result
Northern Mariana Islands(US)," 47,329 ",0.00%,01-Apr-20,2020 census result
Marshall Islands," 42,418 ",0.00%,30-Sep-21,2021 Census
Sint Maarten(Netherlands)," 41,349 ",0.00%,01-Jan-25,Official estimate
Liechtenstein," 41,024 ",0.00%,30-Jun-24,National estimate
British Virgin Islands(UK)," 39,471 ",0.00%,01-Jul-24,UN projection
Monaco," 38,423 ",0.00%,31-Dec-24,Census
Gibraltar(UK)," 38,196 ",0.00%,14-Nov-22,Preliminary census results
San Marino," 34,172 ",0.00%,31-Dec-25,Monthly national estimate
Saint Martin(France)," 31,496 ",0.00%,01-Jan-25,Official estimate
Palau," 16,733 ",0.00%,01-Jul-21,2021 Census
Anguilla(UK)," 16,010 ",0.00%,31-Dec-24,Official estimate
Cook Islands(New Zealand)," 15,040 ",0.00%,01-Jul-21,2021 Census
Nauru," 11,680 ",0.00%,30-Oct-21,2021 Census
Wallis and Futuna(France)," 11,620 ",0.00%,24-Jul-23,2023 Census
Tuvalu," 10,643 ",0.00%,12-Dec-22,2022 Census
Saint Barthélemy(France)," 10,562 ",0.00%,01-Jan-25,Official estimate
Saint Pierre and Miquelon(France)," 5,819 ",0.00%,01-Jan-25,Official estimate
"Saint Helena, Ascension and Tristan da Cunha(UK)"," 5,651 ",0.00%,01-Jul-21,2021 Census
Montserrat(UK)," 4,386 ",0.00%,23-Sep-23,2023 census result
Falkland Islands(UK)," 3,662 ",0.00%,10-Oct-21,2021 census result
Tokelau(New Zealand)," 2,608 ",0.00%,01-Jan-25,2025 Census
Norfolk Island(Australia)," 2,188 ",0.00%,01-Jan-21,2021 Census
Christmas Island(Australia)," 1,692 ",0.00%,01-Jan-21,2021 Census
Niue(New Zealand)," 1,681 ",0.00%,11-Nov-22,2022 Census
Vatican City, 882 ,0.00%,31-Dec-24,Official figure
Cocos (Keeling) Islands(Australia), 593 ,0.00%,30-Jun-20,2021 Census
Pitcairn Islands(UK), 35 ,0.00%,01-Jul-23,Official estimate
